,x,Q2,y,sigma_d measured (b/GeV2),Elab,*W2,*nu,*E',*epsilon,obs,target,curent,lepton beam,units,%dE,%dE1_c,%dE2_c,%dE3_c,%dE4_c,%dEp,%dEp1_c,%dEp2_c,%dEp3_c,%dEp4_c,%dAC_c,%dRC_c,%dRE_c,R,F2d,dFstat,dFsyst,%*norm_c,*epsilon.1,value,%*dST_u
65,0.2729,8.7,0.194,2.684e-09,90,24.0596534540124,16.993501841158,73.006498158842,0.976541809128342,sig_r,d,mu,nc,1,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.1,0.094,0.255,0.0167,0.0028,2.5,0.976541809128342,0.25448523676799,6.54901960784314
66,0.3145,4.61,0.091,8.036e-09,90,10.9280315993641,7.81353283548191,82.1864671645181,0.995154766980174,sig_r,d,mu,nc,1,0.4,0.4,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,4.4,0.3,0.1,0.14,0.2286,0.0088,0.01,2.5,0.995154766980174,0.228463115329597,3.84951881014873
67,0.3373,5.46,0.101,5.253e-09,90,11.6072142935073,8.62866220336208,81.3713377966379,0.993986814846377,sig_r,d,mu,nc,1,0.4,0.4,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,3.3,0.2,0.1,0.121,0.2267,0.0071,0.0077,2.5,0.993986814846377,0.226551859978973,3.1318923687693
68,0.3485,6.87,0.123,3.044e-09,90,13.7228999540889,10.5080255618811,79.4919744381189,0.990971082821853,sig_r,d,mu,nc,1,0.4,0.4,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,2.1,0.2,0.1,0.101,0.2195,0.0068,0.0047,2.5,0.990971082821853,0.219317140576954,3.09794988610478
69,0.3432,8.73,0.157,1.758e-09,90,17.5869069370629,13.5592019920378,76.4407980079622,0.984965544727826,sig_r,d,mu,nc,1,0.4,0.4,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.2,0.2,0.1,0.085,0.2074,0.0108,0.0028,2.5,0.984965544727826,0.207154848176604,5.20732883317261
70,0.3931,5.72,0.091,3.036e-09,90,9.71084883337573,7.75639916491244,82.2436008350876,0.995079927114947,sig_r,d,mu,nc,1,-2.9,-2.9,0.0,0.0,0.0,3.7,3.7,0.0,0.0,0.0,9.4,0.2,0.1,0.112,0.168,0.0147,0.0177,2.5,0.995079927114947,0.167915998164484,8.75
71,0.4379,6.96,0.1,1.731e-09,90,9.81388373509934,8.47230263064997,81.52769736935,0.994001833000556,sig_r,d,mu,nc,1,-2.5,-2.5,0.0,0.0,0.0,3.4,3.4,0.0,0.0,0.0,7.0,0.2,0.1,0.094,0.1603,0.0061,0.0132,2.5,0.994001833000556,0.160216547150389,3.80536494073612
72,0.4603,8.74,0.118,8.371e-10,90,11.1274607716706,10.1213309017434,79.8786690982566,0.991564059485275,sig_r,d,mu,nc,1,-1.9,-1.9,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,4.4,0.2,0.1,0.078,0.131,0.007,0.0074,2.5,0.991564059485275,0.130919460385568,5.34351145038168
73,0.0087,1.19,0.626,3.651e-06,120,136.471453195402,72.9113055412592,47.0886944587408,0.656151694335348,sig_r,d,mu,nc,1,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,0.6,0.337,0.2894,0.007,0.0058,2.5,0.656151694335348,0.264316664730985,2.41879751209399
74,0.0117,1.37,0.539,2.248e-06,120,116.603861094017,62.4168534616296,57.5831465383704,0.760330140321921,sig_r,d,mu,nc,1,0.6,0.0,0.6,0.0,0.0,-0.2,0.0,-0.2,0.0,0.0,1.7,1.1,0.4,0.246,0.2907,0.0077,0.0061,2.5,0.760330140321921,0.276943655196414,2.64877880976952
