,Elab,x,Q2,y,obs,target,lepton beam,current,units,value,stat_u,sys_u,*norm_c
180,13.32,0.771,9.147,0.4745,sig_r,p,e,NC,1,0.021378,0.0014537,0.00053446,0.000448938
181,13.32,0.664,8.494,0.512,sig_r,p,e,NC,1,0.058653,0.0024634,0.0011144,0.001231713
182,13.32,0.543,7.619,0.5617,sig_r,p,e,NC,1,0.11343,0.0023821,0.0017015,0.00238203
183,13.32,0.471,7.021,0.5959,sig_r,p,e,NC,1,0.1589,0.0027013,0.0019068,0.0033369
184,13.32,0.404,6.382,0.6326,sig_r,p,e,NC,1,0.20862,0.0037552,0.0020862,0.00438102
185,13.32,0.336,5.66,0.6743,sig_r,p,e,NC,1,0.25729,0.0041167,0.0018011,0.00540309
186,13.32,0.291,5.125,0.7051,sig_r,p,e,NC,1,0.2799,0.0041984,0.0016794,0.0058779
187,13.32,0.258,4.699,0.7295,sig_r,p,e,NC,1,0.28487,0.0059822,0.0014243,0.00598227
188,13.32,0.233,4.37,0.7489,sig_r,p,e,NC,1,0.31643,0.0075942,0.0012657,0.00664503
189,13.32,0.203,3.919,0.7742,sig_r,p,e,NC,1,0.30696,0.0055252,0.0012278,0.00644616
190,13.32,0.176,3.509,0.7981,sig_r,p,e,NC,1,0.30215,0.0066473,0.0012086,0.00634515
191,13.32,0.161,3.267,0.8123,sig_r,p,e,NC,1,0.28939,0.010707,0.0014469,0.00607719
192,13.32,0.146,3.021,0.8264,sig_r,p,e,NC,1,0.30131,0.011149,0.0015066,0.00632751
193,13.32,0.121,2.573,0.852,sig_r,p,e,NC,1,0.29446,0.0073615,0.0017668,0.00618366
194,13.32,0.108,2.334,0.8659,sig_r,p,e,NC,1,0.2866,0.01433,0.0020062,0.0060186
195,13.32,0.098,2.153,0.8761,sig_r,p,e,NC,1,0.30302,0.011212,0.0024241,0.00636342
196,13.32,0.088,1.96,0.8874,sig_r,p,e,NC,1,0.25539,0.017877,0.0020431,0.00536319
197,17.027,0.789,13.36,0.5302,sig_r,p,e,NC,1,0.014738,0.00039793,0.00044214,0.000309498
198,17.027,0.701,12.53,0.5595,sig_r,p,e,NC,1,0.034345,0.00085863,0.00082428,0.000721245
199,17.027,0.621,11.69,0.5889,sig_r,p,e,NC,1,0.063552,0.0017159,0.001271,0.001334592
200,17.027,0.55,10.86,0.6183,sig_r,p,e,NC,1,0.099238,0.0021832,0.0016871,0.002083998
201,17.027,0.469,9.816,0.6544,sig_r,p,e,NC,1,0.15269,0.0030537,0.0021376,0.00320649
202,17.027,0.417,9.069,0.681,sig_r,p,e,NC,1,0.18636,0.0035409,0.0022363,0.00391356
203,17.027,0.362,8.22,0.7105,sig_r,p,e,NC,1,0.21739,0.0041303,0.0021739,0.00456519
204,17.027,0.308,7.302,0.7426,sig_r,p,e,NC,1,0.26256,0.0052511,0.0021005,0.00551376
205,17.027,0.273,6.682,0.7651,sig_r,p,e,NC,1,0.28484,0.00883,0.001709,0.00598164
206,17.027,0.251,6.264,0.7798,sig_r,p,e,NC,1,0.30413,0.0091239,0.0015207,0.00638673
207,17.027,0.223,5.701,0.7991,sig_r,p,e,NC,1,0.29733,0.006244,0.0011893,0.00624393
208,17.027,0.196,5.139,0.8189,sig_r,p,e,NC,1,0.31702,0.0069745,0.0012681,0.00665742
209,17.027,0.171,4.594,0.8385,sig_r,p,e,NC,1,0.28884,0.010687,0.0011554,0.00606564
210,17.027,0.153,4.176,0.8532,sig_r,p,e,NC,1,0.30372,0.010934,0.0015186,0.00637812
