,exp,Elab,EP,Theta,target,current,lepton beam,units,obs,x,Q2,W2,Epsilon,Sigma(nb/Ser*Gev),%*stat_u,%*syst,*y,*value
384,jlcee96,4.054,2.225,24.03,d,e,nc,1,sig_r,0.455,1.563,2.748,0.779,39.3,2.02,3.1,0.451159349,0.174
385,jlcee96,4.054,2.235,24.03,d,e,nc,1,sig_r,0.46,1.57,2.722,0.78,35.7,2.04,3.1,0.448692649,0.158
386,jlcee96,4.054,2.245,24.03,d,e,nc,1,sig_r,0.465,1.577,2.697,0.782,37.5,1.84,3.1,0.44622595,0.165
387,jlcee96,4.054,2.255,24.03,d,e,nc,1,sig_r,0.469,1.584,2.671,0.784,35.6,1.42,3.1,0.44375925,0.156
388,jlcee96,4.054,2.265,24.03,d,e,nc,1,sig_r,0.474,1.591,2.645,0.786,35.7,1.44,3.1,0.441292551,0.156
389,jlcee96,4.054,2.275,24.03,d,e,nc,1,sig_r,0.479,1.598,2.619,0.787,34.1,1.45,3.1,0.438825851,0.148
390,jlcee96,4.054,2.285,24.03,d,e,nc,1,sig_r,0.483,1.605,2.594,0.789,33.4,1.45,3.1,0.436359151,0.145
391,jlcee96,4.054,2.295,24.03,d,e,nc,1,sig_r,0.488,1.612,2.568,0.791,33.2,1.47,3.1,0.433892452,0.143
392,jlcee96,4.054,2.305,24.03,d,e,nc,1,sig_r,0.493,1.619,2.542,0.793,32.5,1.47,3.1,0.431425752,0.14
393,jlcee96,4.054,2.325,24.03,d,e,nc,1,sig_r,0.503,1.633,2.49,0.796,32.0,1.97,3.1,0.426492353,0.137
394,jlcee96,4.054,2.335,24.03,d,e,nc,1,sig_r,0.508,1.64,2.465,0.798,31.1,1.99,3.1,0.424025654,0.132
395,jlcee96,4.054,2.345,24.03,d,e,nc,1,sig_r,0.514,1.647,2.439,0.799,31.5,1.99,3.1,0.421558954,0.134
396,jlcee96,4.054,2.355,24.03,d,e,nc,1,sig_r,0.519,1.654,2.413,0.801,32.4,2.0,3.1,0.419092255,0.137
397,jlcee96,4.054,2.365,24.03,d,e,nc,1,sig_r,0.524,1.661,2.387,0.802,30.8,2.02,3.1,0.416625555,0.129
398,jlcee96,4.054,2.375,24.03,d,e,nc,1,sig_r,0.529,1.668,2.362,0.804,31.2,2.03,3.1,0.414158855,0.131
399,jlcee96,4.054,2.385,24.03,d,e,nc,1,sig_r,0.535,1.675,2.336,0.806,30.6,2.01,3.1,0.411692156,0.128
400,jlcee96,4.054,2.395,24.03,d,e,nc,1,sig_r,0.54,1.682,2.31,0.807,30.3,2.04,3.1,0.409225456,0.126
401,jlcee96,4.054,2.405,24.03,d,e,nc,1,sig_r,0.546,1.689,2.284,0.809,29.8,2.05,3.1,0.406758757,0.124
402,jlcee96,4.054,2.415,24.03,d,e,nc,1,sig_r,0.551,1.696,2.258,0.81,29.5,2.06,3.1,0.404292057,0.122
403,jlcee96,4.054,2.425,24.03,d,e,nc,1,sig_r,0.557,1.703,2.233,0.812,31.0,2.06,3.1,0.401825358,0.127
404,jlcee96,4.054,2.435,24.03,d,e,nc,1,sig_r,0.563,1.71,2.207,0.813,28.6,2.08,3.1,0.399358658,0.117
405,jlcee96,4.054,2.445,24.03,d,e,nc,1,sig_r,0.569,1.717,2.181,0.815,27.6,2.08,3.1,0.396891959,0.112
406,jlcee96,4.054,2.455,24.03,d,e,nc,1,sig_r,0.575,1.724,2.155,0.816,26.9,2.08,3.1,0.394425259,0.109
407,jlcee96,4.054,2.465,24.03,d,e,nc,1,sig_r,0.581,1.732,2.129,0.818,26.3,2.12,3.1,0.391958559,0.106
408,jlcee96,4.054,2.475,24.03,d,e,nc,1,sig_r,0.587,1.739,2.104,0.819,25.5,2.12,3.1,0.38949186,0.102
409,jlcee96,4.054,2.485,24.03,d,e,nc,1,sig_r,0.593,1.746,2.078,0.821,24.1,2.16,3.1,0.38702516,0.0966
410,jlcee96,4.054,2.495,24.03,d,e,nc,1,sig_r,0.599,1.753,2.052,0.822,23.0,2.16,3.1,0.384558461,0.0917
411,jlcee96,4.054,2.505,24.03,d,e,nc,1,sig_r,0.605,1.76,2.026,0.824,22.8,2.17,3.1,0.382091761,0.0906
412,jlcee96,4.054,2.515,24.03,d,e,nc,1,sig_r,0.612,1.767,2.001,0.825,22.6,2.19,3.1,0.379625062,0.0891
413,jlcee96,4.054,2.525,24.03,d,e,nc,1,sig_r,0.618,1.774,1.975,0.826,21.9,2.18,3.1,0.377158362,0.0859
414,jlcee96,4.054,2.535,24.03,d,e,nc,1,sig_r,0.625,1.781,1.949,0.828,21.1,2.23,3.1,0.374691663,0.0825
415,jlcee96,4.054,2.545,24.03,d,e,nc,1,sig_r,0.631,1.788,1.923,0.829,20.7,2.22,3.1,0.372224963,0.0806
416,jlcee96,4.054,2.565,24.03,d,e,nc,1,sig_r,0.645,1.802,1.872,0.832,20.4,1.54,3.1,0.367291564,0.0784
417,jlcee96,4.054,2.575,24.03,d,e,nc,1,sig_r,0.652,1.809,1.846,0.833,19.5,1.55,3.1,0.364824864,0.0747
418,jlcee96,4.054,2.585,24.03,d,e,nc,1,sig_r,0.659,1.816,1.82,0.835,18.7,1.58,3.1,0.362358165,0.0713
419,jlcee96,4.054,2.595,24.03,d,e,nc,1,sig_r,0.666,1.823,1.794,0.836,18.4,1.59,3.1,0.359891465,0.0698
420,jlcee96,4.054,2.605,24.03,d,e,nc,1,sig_r,0.673,1.83,1.768,0.837,17.4,1.59,3.1,0.357424766,0.0657
421,jlcee96,4.054,2.615,24.03,d,e,nc,1,sig_r,0.68,1.837,1.743,0.838,18.2,1.6,3.1,0.354958066,0.0684
422,jlcee96,4.054,2.625,24.03,d,e,nc,1,sig_r,0.688,1.844,1.717,0.84,17.6,1.59,3.1,0.352491367,0.0656
423,jlcee96,4.054,2.635,24.03,d,e,nc,1,sig_r,0.695,1.851,1.691,0.841,17.3,1.83,3.1,0.350024667,0.0641
424,jlcee96,4.054,2.645,24.03,d,e,nc,1,sig_r,0.703,1.858,1.665,0.842,17.5,2.16,3.1,0.347557967,0.0647
425,jlcee96,4.054,2.655,24.03,d,e,nc,1,sig_r,0.71,1.865,1.64,0.843,17.5,2.16,3.1,0.345091268,0.0643
426,jlcee96,4.054,2.665,24.03,d,e,nc,1,sig_r,0.718,1.872,1.614,0.845,17.8,2.17,3.1,0.342624568,0.0647
427,jlcee96,4.054,2.675,24.03,d,e,nc,1,sig_r,0.726,1.879,1.588,0.846,19.2,2.17,3.1,0.340157869,0.0694
428,jlcee96,4.054,2.685,24.03,d,e,nc,1,sig_r,0.734,1.886,1.562,0.847,19.6,2.2,3.1,0.337691169,0.0707
429,jlcee96,4.054,2.695,24.03,d,e,nc,1,sig_r,0.742,1.893,1.536,0.848,20.6,2.21,3.1,0.33522447,0.0737
430,jlcee96,4.054,2.705,24.03,d,e,nc,1,sig_r,0.751,1.9,1.511,0.849,21.8,2.22,3.1,0.33275777,0.0775
431,jlcee96,4.054,2.715,24.03,d,e,nc,1,sig_r,0.759,1.907,1.485,0.851,21.6,2.21,3.1,0.330291071,0.0765
432,jlcee96,4.054,2.725,24.03,d,e,nc,1,sig_r,0.767,1.914,1.459,0.852,21.0,2.25,3.1,0.327824371,0.0738
433,jlcee96,4.054,2.735,24.03,d,e,nc,1,sig_r,0.776,1.921,1.433,0.853,18.4,2.3,3.1,0.325357671,0.0641
434,jlcee96,4.054,2.745,24.03,d,e,nc,1,sig_r,0.785,1.928,1.407,0.854,17.0,2.32,3.1,0.322890972,0.0589
435,jlcee96,4.054,2.755,24.03,d,e,nc,1,sig_r,0.794,1.935,1.382,0.855,13.4,5.23,3.1,0.320424272,0.0461
436,jlcee96,4.054,2.765,24.03,d,e,nc,1,sig_r,0.803,1.942,1.356,0.856,10.6,5.27,3.1,0.317957573,0.0363
437,jlcee96,4.054,2.775,24.03,d,e,nc,1,sig_r,0.812,1.949,1.33,0.857,8.24,5.28,3.1,0.315490873,0.0281
438,jlcee96,4.054,2.785,24.03,d,e,nc,1,sig_r,0.821,1.956,1.304,0.858,5.97,5.32,3.1,0.313024174,0.0202
439,jlcee96,4.054,2.795,24.03,d,e,nc,1,sig_r,0.831,1.963,1.279,0.859,4.43,5.36,3.1,0.310557474,0.0149
440,jlcee96,4.054,2.805,24.03,d,e,nc,1,sig_r,0.84,1.97,1.253,0.86,2.94,5.41,3.1,0.308090775,0.00982
441,jlcee96,4.054,2.815,24.03,d,e,nc,1,sig_r,0.85,1.977,1.227,0.861,2.1,5.44,3.1,0.305624075,0.00697
442,jlcee96,4.054,2.825,24.03,d,e,nc,1,sig_r,0.86,1.984,1.201,0.862,1.37,5.54,3.1,0.303157375,0.0045
443,jlcee96,4.054,2.835,24.03,d,e,nc,1,sig_r,0.87,1.991,1.175,0.863,0.786,5.62,3.1,0.300690676,0.00257
444,jlcee96,2.445,0.505,70.01,d,e,nc,1,sig_r,0.446,1.625,2.895,0.235,3.66,1.94,3.1,0.793456033,0.155
445,jlcee96,2.445,0.515,70.01,d,e,nc,1,sig_r,0.458,1.657,2.844,0.239,3.3,1.26,3.1,0.789366053,0.141
446,jlcee96,2.445,0.525,70.01,d,e,nc,1,sig_r,0.469,1.689,2.793,0.243,3.17,1.28,3.1,0.785276074,0.137
447,jlcee96,2.445,0.535,70.01,d,e,nc,1,sig_r,0.48,1.721,2.742,0.246,3.08,1.29,3.1,0.781186094,0.135
448,jlcee96,2.445,0.545,70.01,d,e,nc,1,sig_r,0.492,1.753,2.691,0.25,2.88,1.31,3.1,0.777096115,0.127
449,jlcee96,2.445,0.555,70.01,d,e,nc,1,sig_r,0.504,1.786,2.64,0.254,2.78,1.32,3.1,0.773006135,0.124
450,jlcee96,2.445,0.565,70.01,d,e,nc,1,sig_r,0.515,1.818,2.589,0.257,2.56,1.35,3.1,0.768916155,0.115
451,jlcee96,2.445,0.575,70.01,d,e,nc,1,sig_r,0.527,1.85,2.538,0.261,2.48,1.38,3.1,0.764826176,0.112
452,jlcee96,2.445,0.585,70.01,d,e,nc,1,sig_r,0.539,1.882,2.487,0.264,2.33,1.43,3.1,0.760736196,0.107
453,jlcee96,2.445,0.595,70.01,d,e,nc,1,sig_r,0.551,1.914,2.436,0.268,2.32,2.3,3.1,0.756646217,0.107
454,jlcee96,2.445,0.675,70.01,d,e,nc,1,sig_r,0.654,2.172,2.029,0.294,1.45,1.6,3.1,0.72392638,0.0703
455,jlcee96,2.445,0.685,70.01,d,e,nc,1,sig_r,0.667,2.204,1.978,0.298,1.26,1.54,3.1,0.719836401,0.0616
456,jlcee96,2.445,0.695,70.01,d,e,nc,1,sig_r,0.681,2.236,1.927,0.301,1.16,1.59,3.1,0.715746421,0.057
457,jlcee96,2.445,0.705,70.01,d,e,nc,1,sig_r,0.695,2.268,1.876,0.304,1.09,1.64,3.1,0.711656442,0.0538
458,jlcee96,2.445,0.715,70.01,d,e,nc,1,sig_r,0.708,2.3,1.825,0.307,1.06,1.66,3.1,0.707566462,0.0521
459,jlcee96,2.445,0.725,70.01,d,e,nc,1,sig_r,0.723,2.333,1.774,0.31,1.01,1.7,3.1,0.703476483,0.0501
460,jlcee96,2.445,0.735,70.01,d,e,nc,1,sig_r,0.737,2.365,1.723,0.313,0.936,1.74,3.1,0.699386503,0.0466
461,jlcee96,2.445,0.745,70.01,d,e,nc,1,sig_r,0.751,2.397,1.672,0.316,0.891,1.8,3.1,0.695296524,0.0445
462,jlcee96,2.445,0.755,70.01,d,e,nc,1,sig_r,0.766,2.429,1.621,0.319,0.844,1.85,3.1,0.691206544,0.0423
463,jlcee96,2.445,0.765,70.01,d,e,nc,1,sig_r,0.781,2.461,1.57,0.322,0.826,1.91,3.1,0.687116564,0.0415
464,jlcee96,2.445,0.775,70.01,d,e,nc,1,sig_r,0.795,2.493,1.52,0.325,0.787,1.4,3.1,0.683026585,0.0397
465,jlcee96,2.445,0.785,70.01,d,e,nc,1,sig_r,0.811,2.526,1.469,0.328,0.717,1.33,3.1,0.678936605,0.0363
466,jlcee96,2.445,0.795,70.01,d,e,nc,1,sig_r,0.826,2.558,1.418,0.331,0.622,1.7,3.1,0.674846626,0.0316
467,jlcee96,2.445,0.805,70.01,d,e,nc,1,sig_r,0.842,2.59,1.367,0.333,0.516,5.0,3.1,0.670756646,0.0262
468,jlcee96,2.445,0.815,70.01,d,e,nc,1,sig_r,0.857,2.622,1.316,0.336,0.412,5.03,3.1,0.666666667,0.021
469,jlcee96,2.445,0.825,70.01,d,e,nc,1,sig_r,0.873,2.654,1.265,0.339,0.253,5.09,3.1,0.662576687,0.0129
470,jlcee96,2.445,0.835,70.01,d,e,nc,1,sig_r,0.889,2.686,1.214,0.342,0.104,5.26,3.1,0.658486708,0.00532
471,jlcee96,2.445,0.845,70.01,d,e,nc,1,sig_r,0.906,2.719,1.163,0.344,0.0362,5.67,3.1,0.654396728,0.00185
472,jlcee96,4.045,1.515,30.0,d,e,nc,1,sig_r,0.346,1.641,3.985,0.587,19.0,1.79,3.1,0.625463535,0.214
473,jlcee96,4.045,1.525,30.0,d,e,nc,1,sig_r,0.349,1.652,3.955,0.59,18.3,1.81,3.1,0.622991347,0.206
474,jlcee96,4.045,1.535,30.0,d,e,nc,1,sig_r,0.353,1.663,3.926,0.593,18.1,1.82,3.1,0.620519159,0.204
475,jlcee96,4.045,1.545,30.0,d,e,nc,1,sig_r,0.357,1.674,3.896,0.595,18.0,1.83,3.1,0.618046972,0.204
476,jlcee96,4.045,1.555,30.0,d,e,nc,1,sig_r,0.361,1.685,3.866,0.598,18.3,1.81,3.1,0.615574784,0.207
477,jlcee96,4.045,1.565,30.0,d,e,nc,1,sig_r,0.364,1.696,3.837,0.601,18.5,1.81,3.1,0.613102596,0.21
478,jlcee96,4.045,1.575,30.0,d,e,nc,1,sig_r,0.368,1.706,3.807,0.603,18.3,1.84,3.1,0.610630408,0.207
479,jlcee96,4.045,1.585,30.0,d,e,nc,1,sig_r,0.372,1.717,3.778,0.606,17.3,1.85,3.1,0.60815822,0.195
480,jlcee96,4.045,1.595,30.0,d,e,nc,1,sig_r,0.376,1.728,3.748,0.609,17.3,1.33,3.1,0.605686032,0.196
481,jlcee96,4.045,1.605,30.0,d,e,nc,1,sig_r,0.38,1.739,3.718,0.612,16.7,1.25,3.1,0.603213844,0.189
482,jlcee96,4.045,1.615,30.0,d,e,nc,1,sig_r,0.384,1.75,3.689,0.614,16.5,1.26,3.1,0.600741656,0.187
483,jlcee96,4.045,1.625,30.0,d,e,nc,1,sig_r,0.388,1.761,3.659,0.617,16.5,1.27,3.1,0.598269468,0.187
484,jlcee96,4.045,1.635,30.0,d,e,nc,1,sig_r,0.392,1.771,3.63,0.619,15.6,1.28,3.1,0.595797281,0.177
485,jlcee96,4.045,1.645,30.0,d,e,nc,1,sig_r,0.396,1.782,3.6,0.622,16.2,1.29,3.1,0.593325093,0.183
486,jlcee96,4.045,1.665,30.0,d,e,nc,1,sig_r,0.404,1.804,3.541,0.627,15.0,1.66,3.1,0.588380717,0.169
487,jlcee96,4.045,1.675,30.0,d,e,nc,1,sig_r,0.408,1.815,3.511,0.63,15.2,1.68,3.1,0.585908529,0.172
488,jlcee96,4.045,1.685,30.0,d,e,nc,1,sig_r,0.412,1.826,3.482,0.632,14.7,1.68,3.1,0.583436341,0.166
489,jlcee96,4.045,1.695,30.0,d,e,nc,1,sig_r,0.416,1.836,3.452,0.635,14.3,1.68,3.1,0.580964153,0.162
490,jlcee96,4.045,1.705,30.0,d,e,nc,1,sig_r,0.421,1.847,3.423,0.637,14.5,1.7,3.1,0.578491965,0.164
491,jlcee96,4.045,1.715,30.0,d,e,nc,1,sig_r,0.425,1.858,3.393,0.64,14.1,1.69,3.1,0.576019778,0.16
492,jlcee96,4.045,1.725,30.0,d,e,nc,1,sig_r,0.429,1.869,3.363,0.642,14.3,1.69,3.1,0.57354759,0.162
493,jlcee96,4.045,1.735,30.0,d,e,nc,1,sig_r,0.434,1.88,3.334,0.645,14.4,1.7,3.1,0.571075402,0.163
494,jlcee96,4.045,1.745,30.0,d,e,nc,1,sig_r,0.438,1.891,3.304,0.647,14.2,1.69,3.1,0.568603214,0.16
495,jlcee96,4.045,1.755,30.0,d,e,nc,1,sig_r,0.442,1.901,3.275,0.649,13.5,1.71,3.1,0.566131026,0.152
496,jlcee96,4.045,1.765,30.0,d,e,nc,1,sig_r,0.447,1.912,3.245,0.652,13.6,1.72,3.1,0.563658838,0.153
497,jlcee96,4.045,1.775,30.0,d,e,nc,1,sig_r,0.451,1.923,3.215,0.654,13.5,1.73,3.1,0.56118665,0.151
498,jlcee96,4.045,1.785,30.0,d,e,nc,1,sig_r,0.456,1.934,3.186,0.657,13.7,1.73,3.1,0.558714462,0.155
499,jlcee96,4.045,1.795,30.0,d,e,nc,1,sig_r,0.461,1.945,3.156,0.659,13.3,1.74,3.1,0.556242274,0.149
500,jlcee96,4.045,1.805,30.0,d,e,nc,1,sig_r,0.465,1.956,3.127,0.661,12.7,1.75,3.1,0.553770087,0.143
501,jlcee96,4.045,1.815,30.0,d,e,nc,1,sig_r,0.47,1.966,3.097,0.664,13.0,1.77,3.1,0.551297899,0.145
502,jlcee96,4.045,1.825,30.0,d,e,nc,1,sig_r,0.475,1.977,3.067,0.666,12.9,1.78,3.1,0.548825711,0.145
503,jlcee96,4.045,1.835,30.0,d,e,nc,1,sig_r,0.479,1.988,3.038,0.668,13.2,1.78,3.1,0.546353523,0.148
504,jlcee96,4.045,1.845,30.0,d,e,nc,1,sig_r,0.484,1.999,3.008,0.671,12.6,1.78,3.1,0.543881335,0.141
505,jlcee96,4.045,1.855,30.0,d,e,nc,1,sig_r,0.489,2.01,2.979,0.673,12.7,1.82,3.1,0.541409147,0.142
506,jlcee96,4.045,1.865,30.0,d,e,nc,1,sig_r,0.494,2.021,2.949,0.675,12.5,1.99,3.1,0.538936959,0.139
507,jlcee96,4.045,1.895,30.0,d,e,nc,1,sig_r,0.509,2.053,2.86,0.682,12.9,2.42,3.1,0.531520396,0.143
508,jlcee96,4.045,1.905,30.0,d,e,nc,1,sig_r,0.514,2.064,2.831,0.684,12.2,1.67,3.1,0.529048208,0.135
509,jlcee96,4.045,1.915,30.0,d,e,nc,1,sig_r,0.519,2.075,2.801,0.686,11.6,1.69,3.1,0.52657602,0.129
510,jlcee96,4.045,1.925,30.0,d,e,nc,1,sig_r,0.524,2.086,2.771,0.688,11.5,1.71,3.1,0.524103832,0.127
511,jlcee96,4.045,1.935,30.0,d,e,nc,1,sig_r,0.529,2.096,2.742,0.69,11.1,1.74,3.1,0.521631644,0.123
512,jlcee96,4.045,1.945,30.0,d,e,nc,1,sig_r,0.535,2.107,2.712,0.692,10.6,1.73,3.1,0.519159456,0.117
513,jlcee96,4.045,1.955,30.0,d,e,nc,1,sig_r,0.54,2.118,2.683,0.695,10.5,1.76,3.1,0.516687268,0.115
514,jlcee96,4.045,1.965,30.0,d,e,nc,1,sig_r,0.545,2.129,2.653,0.697,10.0,1.76,3.1,0.51421508,0.11
515,jlcee96,4.045,1.975,30.0,d,e,nc,1,sig_r,0.551,2.14,2.623,0.699,9.6,1.75,3.1,0.511742892,0.105
516,jlcee96,4.045,1.985,30.0,d,e,nc,1,sig_r,0.556,2.151,2.594,0.701,9.54,1.77,3.1,0.509270705,0.104
517,jlcee96,4.045,1.995,30.0,d,e,nc,1,sig_r,0.562,2.161,2.564,0.703,9.54,1.8,3.1,0.506798517,0.104
518,jlcee96,4.045,2.005,30.0,d,e,nc,1,sig_r,0.567,2.172,2.535,0.705,9.43,1.79,3.1,0.504326329,0.103
519,jlcee96,4.045,2.015,30.0,d,e,nc,1,sig_r,0.573,2.183,2.505,0.707,9.23,1.79,3.1,0.501854141,0.1
520,jlcee96,4.045,2.025,30.0,d,e,nc,1,sig_r,0.579,2.194,2.476,0.709,8.76,1.81,3.1,0.499381953,0.0951
521,jlcee96,4.045,2.035,30.0,d,e,nc,1,sig_r,0.585,2.205,2.446,0.711,9.07,1.81,3.1,0.496909765,0.0983
522,jlcee96,4.045,2.045,30.0,d,e,nc,1,sig_r,0.59,2.216,2.416,0.713,8.7,1.8,3.1,0.494437577,0.094
523,jlcee96,4.045,2.055,30.0,d,e,nc,1,sig_r,0.596,2.226,2.387,0.715,8.76,1.82,3.1,0.491965389,0.0944
524,jlcee96,4.045,2.065,30.0,d,e,nc,1,sig_r,0.602,2.237,2.357,0.717,8.77,1.83,3.1,0.489493201,0.0943
525,jlcee96,4.045,2.075,30.0,d,e,nc,1,sig_r,0.608,2.248,2.328,0.719,8.46,1.84,3.1,0.487021014,0.0908
526,jlcee96,4.045,2.085,30.0,d,e,nc,1,sig_r,0.614,2.259,2.298,0.721,8.25,1.86,3.1,0.484548826,0.0884
527,jlcee96,4.045,2.095,30.0,d,e,nc,1,sig_r,0.62,2.27,2.268,0.722,8.13,1.87,3.1,0.482076638,0.0869
528,jlcee96,4.045,2.105,30.0,d,e,nc,1,sig_r,0.627,2.281,2.239,0.724,8.02,1.88,3.1,0.47960445,0.0855
529,jlcee96,4.045,2.115,30.0,d,e,nc,1,sig_r,0.633,2.292,2.209,0.726,7.94,1.89,3.1,0.477132262,0.0844
530,jlcee96,4.045,2.125,30.0,d,e,nc,1,sig_r,0.639,2.302,2.18,0.728,7.64,1.92,3.1,0.474660074,0.0809
531,jlcee96,4.045,2.135,30.0,d,e,nc,1,sig_r,0.645,2.313,2.15,0.73,7.04,1.93,3.1,0.472187886,0.0744
532,jlcee96,4.045,2.145,30.0,d,e,nc,1,sig_r,0.652,2.324,2.12,0.732,6.65,1.95,3.1,0.469715698,0.0701
533,jlcee96,4.045,2.155,30.0,d,e,nc,1,sig_r,0.658,2.335,2.091,0.734,6.48,1.97,3.1,0.467243511,0.0681
534,jlcee96,4.045,2.165,30.0,d,e,nc,1,sig_r,0.665,2.346,2.061,0.735,6.41,2.01,3.1,0.464771323,0.0672
535,jlcee96,4.045,2.175,30.0,d,e,nc,1,sig_r,0.672,2.357,2.032,0.737,6.27,1.45,3.1,0.462299135,0.0656
536,jlcee96,4.045,2.185,30.0,d,e,nc,1,sig_r,0.678,2.367,2.002,0.739,5.9,1.39,3.1,0.459826947,0.0614
537,jlcee96,4.045,2.195,30.0,d,e,nc,1,sig_r,0.685,2.378,1.972,0.741,5.67,1.42,3.1,0.457354759,0.0588
538,jlcee96,4.045,2.205,30.0,d,e,nc,1,sig_r,0.692,2.389,1.943,0.742,5.39,1.43,3.1,0.454882571,0.0558
539,jlcee96,4.045,2.215,30.0,d,e,nc,1,sig_r,0.699,2.4,1.913,0.744,5.38,1.45,3.1,0.452410383,0.0556
540,jlcee96,4.045,2.225,30.0,d,e,nc,1,sig_r,0.706,2.411,1.884,0.746,5.15,1.66,3.1,0.449938195,0.053
541,jlcee96,4.045,2.235,30.0,d,e,nc,1,sig_r,0.713,2.422,1.854,0.747,4.81,1.96,3.1,0.447466007,0.0494
542,jlcee96,4.045,2.245,30.0,d,e,nc,1,sig_r,0.72,2.432,1.824,0.749,4.8,1.99,3.1,0.44499382,0.049
543,jlcee96,4.045,2.255,30.0,d,e,nc,1,sig_r,0.727,2.443,1.795,0.751,4.57,1.95,3.1,0.442521632,0.0465
544,jlcee96,4.045,2.265,30.0,d,e,nc,1,sig_r,0.735,2.454,1.765,0.752,4.43,1.97,3.1,0.440049444,0.045
545,jlcee96,4.045,2.275,30.0,d,e,nc,1,sig_r,0.742,2.465,1.736,0.754,4.32,1.99,3.1,0.437577256,0.0437
546,jlcee96,4.045,2.285,30.0,d,e,nc,1,sig_r,0.75,2.476,1.706,0.756,4.48,2.01,3.1,0.435105068,0.0452
547,jlcee96,4.045,2.295,30.0,d,e,nc,1,sig_r,0.757,2.487,1.676,0.757,4.26,2.04,3.1,0.43263288,0.0428
548,jlcee96,4.045,2.305,30.0,d,e,nc,1,sig_r,0.765,2.497,1.647,0.759,4.24,2.04,3.1,0.430160692,0.0424
549,jlcee96,4.045,2.315,30.0,d,e,nc,1,sig_r,0.773,2.508,1.617,0.76,4.26,2.05,3.1,0.427688504,0.0425
550,jlcee96,4.045,2.325,30.0,d,e,nc,1,sig_r,0.78,2.519,1.588,0.762,4.31,2.1,3.1,0.425216316,0.0428
551,jlcee96,4.045,2.335,30.0,d,e,nc,1,sig_r,0.788,2.53,1.558,0.764,4.61,2.09,3.1,0.422744129,0.0457
552,jlcee96,4.045,2.345,30.0,d,e,nc,1,sig_r,0.796,2.541,1.528,0.765,4.6,2.11,3.1,0.420271941,0.0454
553,jlcee96,4.045,2.355,30.0,d,e,nc,1,sig_r,0.805,2.552,1.499,0.767,4.79,1.93,3.1,0.417799753,0.0471
554,jlcee96,4.045,2.365,30.0,d,e,nc,1,sig_r,0.813,2.562,1.469,0.768,4.55,1.63,3.1,0.415327565,0.0445
555,jlcee96,4.045,2.375,30.0,d,e,nc,1,sig_r,0.821,2.573,1.44,0.77,4.1,1.66,3.1,0.412855377,0.0399
556,jlcee96,4.045,2.385,30.0,d,e,nc,1,sig_r,0.829,2.584,1.41,0.771,3.62,1.7,3.1,0.410383189,0.0351
557,jlcee96,4.045,2.395,30.0,d,e,nc,1,sig_r,0.838,2.595,1.381,0.773,2.73,4.98,3.1,0.407911001,0.0264
558,jlcee96,4.045,2.405,30.0,d,e,nc,1,sig_r,0.847,2.606,1.351,0.774,2.22,5.0,3.1,0.405438813,0.0214
559,jlcee96,4.045,2.415,30.0,d,e,nc,1,sig_r,0.856,2.617,1.321,0.776,1.63,5.03,3.1,0.402966625,0.0156
560,jlcee96,4.045,2.425,30.0,d,e,nc,1,sig_r,0.864,2.627,1.292,0.777,1.12,5.05,3.1,0.400494438,0.0106
561,jlcee96,4.045,2.435,30.0,d,e,nc,1,sig_r,0.873,2.638,1.262,0.778,0.738,5.09,3.1,0.39802225,0.00701
562,jlcee96,4.045,2.445,30.0,d,e,nc,1,sig_r,0.882,2.649,1.233,0.78,0.472,5.12,3.1,0.395550062,0.00446
563,jlcee96,4.045,2.455,30.0,d,e,nc,1,sig_r,0.891,2.66,1.203,0.781,0.309,5.16,3.1,0.393077874,0.00291
564,jlcee96,4.045,2.465,30.0,d,e,nc,1,sig_r,0.901,2.671,1.173,0.783,0.164,5.25,3.1,0.390605686,0.00153
565,jlcee96,4.045,1.195,39.99,d,e,nc,1,sig_r,0.423,2.26,3.967,0.451,5.22,1.78,3.1,0.704573548,0.164
566,jlcee96,4.045,1.205,39.99,d,e,nc,1,sig_r,0.428,2.279,3.929,0.454,5.08,1.27,3.1,0.70210136,0.16
567,jlcee96,4.045,1.215,39.99,d,e,nc,1,sig_r,0.433,2.298,3.891,0.457,4.97,1.29,3.1,0.699629172,0.157
568,jlcee96,4.045,1.225,39.99,d,e,nc,1,sig_r,0.438,2.317,3.854,0.46,4.92,1.3,3.1,0.697156984,0.156
569,jlcee96,4.045,1.235,39.99,d,e,nc,1,sig_r,0.443,2.336,3.816,0.463,4.78,1.32,3.1,0.694684796,0.152
570,jlcee96,4.045,1.245,39.99,d,e,nc,1,sig_r,0.448,2.354,3.778,0.466,4.66,1.33,3.1,0.692212608,0.148
571,jlcee96,4.045,1.265,39.99,d,e,nc,1,sig_r,0.459,2.392,3.703,0.472,4.63,1.82,3.1,0.687268232,0.148
572,jlcee96,4.045,1.275,39.99,d,e,nc,1,sig_r,0.464,2.411,3.665,0.474,4.4,1.84,3.1,0.684796044,0.141
573,jlcee96,4.045,1.285,39.99,d,e,nc,1,sig_r,0.469,2.43,3.628,0.477,4.17,1.87,3.1,0.682323857,0.134
574,jlcee96,4.045,1.295,39.99,d,e,nc,1,sig_r,0.475,2.449,3.59,0.48,4.15,1.87,3.1,0.679851669,0.134
575,jlcee96,4.045,1.305,39.99,d,e,nc,1,sig_r,0.48,2.468,3.552,0.483,4.2,1.87,3.1,0.677379481,0.136
