,exp,Elab,x,Q2,obs,target,lepton beam,current,units,value unscaled,stat unscaled,sys unscaled,value,stat_u,sys_u,*norm_c
426,bonus,4.223,0.725,2.87,F2,n/d,e_minus,NC,1,0.392,0.114,0.031,0.784,0.228,0.062,0.03528
427,bonus,4.223,0.715,2.864,F2,n/d,e_minus,NC,1,0.437,0.116,0.033,0.874,0.232,0.066,0.03933
428,bonus,4.223,0.703,2.87,F2,n/d,e_minus,NC,1,0.378,0.107,0.027,0.756,0.214,0.054,0.03402
429,bonus,4.223,0.701,2.863,F2,n/d,e_minus,NC,1,0.241,0.094,0.017,0.482,0.188,0.034,0.021689999999999997
430,bonus,4.223,0.896,3.418,F2,n/d,e_minus,NC,1,0.11,0.089,0.02,0.22,0.178,0.04,0.009899999999999999
431,bonus,4.223,0.877,3.414,F2,n/d,e_minus,NC,1,0.082,0.064,0.014,0.164,0.128,0.028,0.00738
432,bonus,5.262,0.09,0.602,F2,n/d,e_minus,NC,1,0.231,0.31,0.001,0.462,0.62,0.002,0.02079
433,bonus,5.262,0.147,0.732,F2,n/d,e_minus,NC,1,0.376,0.205,0.002,0.752,0.41,0.004,0.03384
434,bonus,5.262,0.146,0.736,F2,n/d,e_minus,NC,1,0.1,0.171,0.0,0.2,0.342,0.0,0.009
435,bonus,5.262,0.142,0.737,F2,n/d,e_minus,NC,1,0.21,0.147,0.001,0.42,0.294,0.002,0.0189
436,bonus,5.262,0.139,0.741,F2,n/d,e_minus,NC,1,0.42,0.165,0.002,0.84,0.33,0.004,0.0378
437,bonus,5.262,0.135,0.743,F2,n/d,e_minus,NC,1,0.238,0.12,0.001,0.476,0.24,0.002,0.021419999999999998
438,bonus,5.262,0.134,0.742,F2,n/d,e_minus,NC,1,0.312,0.119,0.001,0.624,0.238,0.002,0.028079999999999997
439,bonus,5.262,0.132,0.743,F2,n/d,e_minus,NC,1,0.329,0.111,0.001,0.658,0.222,0.002,0.02961
440,bonus,5.262,0.119,0.745,F2,n/d,e_minus,NC,1,0.194,0.073,0.001,0.388,0.146,0.002,0.01746
441,bonus,5.262,0.11,0.742,F2,n/d,e_minus,NC,1,0.24,0.056,0.001,0.48,0.112,0.002,0.021599999999999998
442,bonus,5.262,0.105,0.739,F2,n/d,e_minus,NC,1,0.332,0.049,0.001,0.664,0.098,0.002,0.02988
443,bonus,5.262,0.298,0.887,F2,n/d,e_minus,NC,1,1.007,0.538,0.009,2.014,1.076,0.018,0.09062999999999999
444,bonus,5.262,0.293,0.892,F2,n/d,e_minus,NC,1,0.541,0.31,0.005,1.082,0.62,0.01,0.048690000000000004
445,bonus,5.262,0.287,0.896,F2,n/d,e_minus,NC,1,1.017,0.426,0.009,2.034,0.852,0.018,0.09152999999999999
446,bonus,5.262,0.27,0.892,F2,n/d,e_minus,NC,1,0.472,0.242,0.004,0.944,0.484,0.008,0.04248
447,bonus,5.262,0.264,0.896,F2,n/d,e_minus,NC,1,0.075,0.14,0.001,0.15,0.28,0.002,0.00675
448,bonus,5.262,0.26,0.897,F2,n/d,e_minus,NC,1,0.223,0.128,0.002,0.446,0.256,0.004,0.02007
449,bonus,5.262,0.251,0.897,F2,n/d,e_minus,NC,1,0.462,0.166,0.003,0.924,0.332,0.006,0.04158
450,bonus,5.262,0.248,0.895,F2,n/d,e_minus,NC,1,0.667,0.171,0.005,1.334,0.342,0.01,0.06003
451,bonus,5.262,0.245,0.895,F2,n/d,e_minus,NC,1,0.374,0.112,0.003,0.748,0.224,0.006,0.033659999999999995
452,bonus,5.262,0.238,0.894,F2,n/d,e_minus,NC,1,0.503,0.126,0.003,1.006,0.252,0.006,0.04527
453,bonus,5.262,0.234,0.894,F2,n/d,e_minus,NC,1,0.493,0.113,0.003,0.986,0.226,0.006,0.04437
454,bonus,5.262,0.228,0.894,F2,n/d,e_minus,NC,1,0.456,0.099,0.003,0.912,0.198,0.006,0.04104
455,bonus,5.262,0.224,0.893,F2,n/d,e_minus,NC,1,0.422,0.084,0.003,0.844,0.168,0.006,0.03798
456,bonus,5.262,0.221,0.893,F2,n/d,e_minus,NC,1,0.486,0.086,0.003,0.972,0.172,0.006,0.043739999999999994
457,bonus,5.262,0.214,0.893,F2,n/d,e_minus,NC,1,0.466,0.075,0.003,0.932,0.15,0.006,0.04194
458,bonus,5.262,0.211,0.892,F2,n/d,e_minus,NC,1,0.428,0.067,0.003,0.856,0.134,0.006,0.03852
459,bonus,5.262,0.206,0.892,F2,n/d,e_minus,NC,1,0.382,0.061,0.002,0.764,0.122,0.004,0.03438
460,bonus,5.262,0.202,0.891,F2,n/d,e_minus,NC,1,0.438,0.059,0.003,0.876,0.118,0.006,0.03942
461,bonus,5.262,0.199,0.89,F2,n/d,e_minus,NC,1,0.434,0.056,0.002,0.868,0.112,0.004,0.03906
462,bonus,5.262,0.193,0.889,F2,n/d,e_minus,NC,1,0.422,0.05,0.002,0.844,0.1,0.004,0.03798
463,bonus,5.262,0.19,0.888,F2,n/d,e_minus,NC,1,0.477,0.049,0.003,0.954,0.098,0.006,0.042929999999999996
464,bonus,5.262,0.187,0.887,F2,n/d,e_minus,NC,1,0.395,0.044,0.002,0.79,0.088,0.004,0.03555
465,bonus,5.262,0.183,0.885,F2,n/d,e_minus,NC,1,0.462,0.043,0.002,0.924,0.086,0.004,0.04158
466,bonus,5.262,0.18,0.883,F2,n/d,e_minus,NC,1,0.495,0.042,0.003,0.99,0.084,0.006,0.04455
467,bonus,5.262,0.175,0.881,F2,n/d,e_minus,NC,1,0.416,0.037,0.002,0.832,0.074,0.004,0.037439999999999994
468,bonus,5.262,0.173,0.88,F2,n/d,e_minus,NC,1,0.447,0.036,0.002,0.894,0.072,0.004,0.04023
469,bonus,5.262,0.169,0.879,F2,n/d,e_minus,NC,1,0.389,0.032,0.002,0.778,0.064,0.004,0.03501
470,bonus,5.262,0.166,0.877,F2,n/d,e_minus,NC,1,0.455,0.032,0.002,0.91,0.064,0.004,0.04095
471,bonus,5.262,0.163,0.876,F2,n/d,e_minus,NC,1,0.405,0.03,0.002,0.81,0.06,0.004,0.03645
472,bonus,5.262,0.16,0.874,F2,n/d,e_minus,NC,1,0.417,0.029,0.002,0.834,0.058,0.004,0.037529999999999994
473,bonus,5.262,0.157,0.873,F2,n/d,e_minus,NC,1,0.427,0.028,0.002,0.854,0.056,0.004,0.03843
474,bonus,5.262,0.154,0.871,F2,n/d,e_minus,NC,1,0.402,0.026,0.002,0.804,0.052,0.004,0.036180000000000004
475,bonus,5.262,0.151,0.869,F2,n/d,e_minus,NC,1,0.466,0.026,0.002,0.932,0.052,0.004,0.04194
476,bonus,5.262,0.148,0.868,F2,n/d,e_minus,NC,1,0.395,0.023,0.002,0.79,0.046,0.004,0.03555
477,bonus,5.262,0.146,0.866,F2,n/d,e_minus,NC,1,0.439,0.024,0.002,0.878,0.048,0.004,0.039509999999999997
478,bonus,5.262,0.143,0.864,F2,n/d,e_minus,NC,1,0.4,0.023,0.002,0.8,0.046,0.004,0.036
479,bonus,5.262,0.14,0.861,F2,n/d,e_minus,NC,1,0.455,0.033,0.002,0.91,0.066,0.004,0.04095
480,bonus,5.262,0.123,0.85,F2,n/d,e_minus,NC,1,0.057,0.01,0.0,0.114,0.02,0.0,0.00513
481,bonus,5.262,0.747,1.076,F2,n/d,e_minus,NC,1,0.333,0.205,0.025,0.666,0.41,0.05,0.02997
482,bonus,5.262,0.722,1.077,F2,n/d,e_minus,NC,1,0.289,0.162,0.02,0.578,0.324,0.04,0.02601
483,bonus,5.262,0.704,1.075,F2,n/d,e_minus,NC,1,0.462,0.211,0.03,0.924,0.422,0.06,0.04158
484,bonus,5.262,0.681,1.075,F2,n/d,e_minus,NC,1,0.483,0.203,0.028,0.966,0.406,0.056,0.043469999999999995
485,bonus,5.262,0.659,1.076,F2,n/d,e_minus,NC,1,0.631,0.186,0.033,1.262,0.372,0.066,0.05679
486,bonus,5.262,0.644,1.075,F2,n/d,e_minus,NC,1,0.609,0.142,0.029,1.218,0.284,0.058,0.05481
487,bonus,5.262,0.623,1.074,F2,n/d,e_minus,NC,1,0.586,0.136,0.026,1.172,0.272,0.052,0.052739999999999995
488,bonus,5.262,0.606,1.074,F2,n/d,e_minus,NC,1,0.726,0.139,0.029,1.452,0.278,0.058,0.06534
489,bonus,5.262,0.589,1.072,F2,n/d,e_minus,NC,1,0.302,0.088,0.011,0.604,0.176,0.022,0.02718
490,bonus,5.262,0.575,1.072,F2,n/d,e_minus,NC,1,0.328,0.088,0.011,0.656,0.176,0.022,0.02952
491,bonus,5.262,0.557,1.071,F2,n/d,e_minus,NC,1,0.377,0.089,0.012,0.754,0.178,0.024,0.03393
492,bonus,5.262,0.541,1.07,F2,n/d,e_minus,NC,1,0.373,0.087,0.011,0.746,0.174,0.022,0.033569999999999996
493,bonus,5.262,0.53,1.069,F2,n/d,e_minus,NC,1,0.476,0.091,0.013,0.952,0.182,0.026,0.042839999999999996
494,bonus,5.262,0.514,1.067,F2,n/d,e_minus,NC,1,0.393,0.079,0.01,0.786,0.158,0.02,0.03537
495,bonus,5.262,0.499,1.067,F2,n/d,e_minus,NC,1,0.412,0.079,0.01,0.824,0.158,0.02,0.037079999999999995
496,bonus,5.262,0.488,1.067,F2,n/d,e_minus,NC,1,0.289,0.066,0.007,0.578,0.132,0.014,0.02601
497,bonus,5.262,0.475,1.065,F2,n/d,e_minus,NC,1,0.34,0.065,0.007,0.68,0.13,0.014,0.030600000000000002
498,bonus,5.262,0.463,1.064,F2,n/d,e_minus,NC,1,0.377,0.062,0.008,0.754,0.124,0.016,0.03393
499,bonus,5.262,0.45,1.063,F2,n/d,e_minus,NC,1,0.417,0.063,0.008,0.834,0.126,0.016,0.037529999999999994
500,bonus,5.262,0.439,1.061,F2,n/d,e_minus,NC,1,0.44,0.058,0.008,0.88,0.116,0.016,0.039599999999999996
501,bonus,5.262,0.429,1.06,F2,n/d,e_minus,NC,1,0.497,0.056,0.009,0.994,0.112,0.018,0.04473
502,bonus,5.262,0.415,1.059,F2,n/d,e_minus,NC,1,0.343,0.048,0.006,0.686,0.096,0.012,0.03087
503,bonus,5.262,0.408,1.058,F2,n/d,e_minus,NC,1,0.449,0.049,0.007,0.898,0.098,0.014,0.04041
504,bonus,5.262,0.395,1.056,F2,n/d,e_minus,NC,1,0.371,0.044,0.005,0.742,0.088,0.01,0.033389999999999996
505,bonus,5.262,0.387,1.055,F2,n/d,e_minus,NC,1,0.298,0.039,0.004,0.596,0.078,0.008,0.026819999999999997
506,bonus,5.262,0.379,1.054,F2,n/d,e_minus,NC,1,0.362,0.041,0.005,0.724,0.082,0.01,0.03258
507,bonus,5.262,0.369,1.053,F2,n/d,e_minus,NC,1,0.475,0.043,0.006,0.95,0.086,0.012,0.042749999999999996
508,bonus,5.262,0.36,1.051,F2,n/d,e_minus,NC,1,0.39,0.038,0.005,0.78,0.076,0.01,0.0351
509,bonus,5.262,0.352,1.05,F2,n/d,e_minus,NC,1,0.437,0.038,0.005,0.874,0.076,0.01,0.03933
510,bonus,5.262,0.344,1.049,F2,n/d,e_minus,NC,1,0.428,0.036,0.005,0.856,0.072,0.01,0.03852
511,bonus,5.262,0.337,1.047,F2,n/d,e_minus,NC,1,0.458,0.035,0.005,0.916,0.07,0.01,0.04122
512,bonus,5.262,0.329,1.046,F2,n/d,e_minus,NC,1,0.422,0.033,0.005,0.844,0.066,0.01,0.03798
513,bonus,5.262,0.322,1.045,F2,n/d,e_minus,NC,1,0.379,0.03,0.004,0.758,0.06,0.008,0.03411
514,bonus,5.262,0.314,1.044,F2,n/d,e_minus,NC,1,0.377,0.029,0.004,0.754,0.058,0.008,0.03393
515,bonus,5.262,0.307,1.042,F2,n/d,e_minus,NC,1,0.362,0.027,0.003,0.724,0.054,0.006,0.03258
516,bonus,5.262,0.301,1.041,F2,n/d,e_minus,NC,1,0.443,0.029,0.004,0.886,0.058,0.008,0.039869999999999996
517,bonus,5.262,0.294,1.039,F2,n/d,e_minus,NC,1,0.424,0.028,0.004,0.848,0.056,0.008,0.03816
518,bonus,5.262,0.288,1.038,F2,n/d,e_minus,NC,1,0.432,0.027,0.004,0.864,0.054,0.008,0.03888
519,bonus,5.262,0.282,1.036,F2,n/d,e_minus,NC,1,0.385,0.025,0.003,0.77,0.05,0.006,0.03465
520,bonus,5.262,0.275,1.035,F2,n/d,e_minus,NC,1,0.4,0.025,0.003,0.8,0.05,0.006,0.036
521,bonus,5.262,0.271,1.033,F2,n/d,e_minus,NC,1,0.446,0.026,0.004,0.892,0.052,0.008,0.04014
522,bonus,5.262,0.264,1.032,F2,n/d,e_minus,NC,1,0.437,0.025,0.003,0.874,0.05,0.006,0.03933
523,bonus,5.262,0.258,1.031,F2,n/d,e_minus,NC,1,0.394,0.023,0.003,0.788,0.046,0.006,0.03546
524,bonus,5.262,0.254,1.029,F2,n/d,e_minus,NC,1,0.408,0.023,0.003,0.816,0.046,0.006,0.036719999999999996
525,bonus,5.262,0.248,1.027,F2,n/d,e_minus,NC,1,0.432,0.023,0.003,0.864,0.046,0.006,0.03888
526,bonus,5.262,0.243,1.026,F2,n/d,e_minus,NC,1,0.391,0.022,0.003,0.782,0.044,0.006,0.03519
527,bonus,5.262,0.238,1.025,F2,n/d,e_minus,NC,1,0.405,0.022,0.003,0.81,0.044,0.006,0.03645
528,bonus,5.262,0.233,1.023,F2,n/d,e_minus,NC,1,0.426,0.022,0.003,0.852,0.044,0.006,0.03834
529,bonus,5.262,0.228,1.022,F2,n/d,e_minus,NC,1,0.415,0.021,0.003,0.83,0.042,0.006,0.037349999999999994
530,bonus,5.262,0.225,1.02,F2,n/d,e_minus,NC,1,0.421,0.021,0.003,0.842,0.042,0.006,0.03789
531,bonus,5.262,0.22,1.019,F2,n/d,e_minus,NC,1,0.433,0.021,0.003,0.866,0.042,0.006,0.03897
532,bonus,5.262,0.216,1.017,F2,n/d,e_minus,NC,1,0.444,0.021,0.003,0.888,0.042,0.006,0.03996
533,bonus,5.262,0.212,1.016,F2,n/d,e_minus,NC,1,0.41,0.02,0.002,0.82,0.04,0.004,0.036899999999999995
534,bonus,5.262,0.208,1.015,F2,n/d,e_minus,NC,1,0.42,0.02,0.002,0.84,0.04,0.004,0.0378
535,bonus,5.262,0.205,1.014,F2,n/d,e_minus,NC,1,0.424,0.02,0.002,0.848,0.04,0.004,0.03816
536,bonus,5.262,0.202,1.013,F2,n/d,e_minus,NC,1,0.418,0.02,0.002,0.836,0.04,0.004,0.037619999999999994
537,bonus,5.262,0.197,1.013,F2,n/d,e_minus,NC,1,0.418,0.019,0.002,0.836,0.038,0.004,0.037619999999999994
538,bonus,5.262,0.194,1.012,F2,n/d,e_minus,NC,1,0.441,0.02,0.002,0.882,0.04,0.004,0.039689999999999996
539,bonus,5.262,0.191,1.012,F2,n/d,e_minus,NC,1,0.435,0.019,0.002,0.87,0.038,0.004,0.03915
540,bonus,5.262,0.187,1.012,F2,n/d,e_minus,NC,1,0.421,0.019,0.002,0.842,0.038,0.004,0.03789
541,bonus,5.262,0.185,1.011,F2,n/d,e_minus,NC,1,0.418,0.019,0.002,0.836,0.038,0.004,0.037619999999999994
542,bonus,5.262,0.181,1.011,F2,n/d,e_minus,NC,1,0.409,0.019,0.002,0.818,0.038,0.004,0.036809999999999996
543,bonus,5.262,0.178,1.011,F2,n/d,e_minus,NC,1,0.449,0.019,0.002,0.898,0.038,0.004,0.04041
544,bonus,5.262,0.175,1.011,F2,n/d,e_minus,NC,1,0.426,0.018,0.002,0.852,0.036,0.004,0.03834
545,bonus,5.262,0.172,1.01,F2,n/d,e_minus,NC,1,0.414,0.018,0.002,0.828,0.036,0.004,0.037259999999999995
546,bonus,5.262,0.169,1.01,F2,n/d,e_minus,NC,1,0.446,0.019,0.002,0.892,0.038,0.004,0.04014
547,bonus,5.262,0.166,1.009,F2,n/d,e_minus,NC,1,0.451,0.019,0.002,0.902,0.038,0.004,0.04059
548,bonus,5.262,0.164,1.008,F2,n/d,e_minus,NC,1,0.434,0.018,0.002,0.868,0.036,0.004,0.03906
549,bonus,5.262,0.161,1.008,F2,n/d,e_minus,NC,1,0.431,0.018,0.002,0.862,0.036,0.004,0.03879
550,bonus,5.262,0.159,1.008,F2,n/d,e_minus,NC,1,0.419,0.018,0.002,0.838,0.036,0.004,0.03771
551,bonus,5.262,0.156,1.008,F2,n/d,e_minus,NC,1,0.436,0.018,0.002,0.872,0.036,0.004,0.03924
552,bonus,5.262,0.154,1.008,F2,n/d,e_minus,NC,1,0.437,0.018,0.002,0.874,0.036,0.004,0.03933
553,bonus,5.262,0.152,1.008,F2,n/d,e_minus,NC,1,0.438,0.018,0.002,0.876,0.036,0.004,0.03942
554,bonus,5.262,0.149,1.008,F2,n/d,e_minus,NC,1,0.44,0.018,0.002,0.88,0.036,0.004,0.039599999999999996
555,bonus,5.262,0.147,1.007,F2,n/d,e_minus,NC,1,0.455,0.018,0.002,0.91,0.036,0.004,0.04095
556,bonus,5.262,0.145,1.007,F2,n/d,e_minus,NC,1,0.455,0.019,0.002,0.91,0.038,0.004,0.04095
557,bonus,5.262,0.143,1.007,F2,n/d,e_minus,NC,1,0.44,0.018,0.002,0.88,0.036,0.004,0.039599999999999996
558,bonus,5.262,0.768,1.221,F2,n/d,e_minus,NC,1,0.22,0.037,0.019,0.44,0.074,0.038,0.019799999999999998
559,bonus,5.262,0.747,1.222,F2,n/d,e_minus,NC,1,0.433,0.056,0.034,0.866,0.112,0.068,0.03897
560,bonus,5.262,0.727,1.22,F2,n/d,e_minus,NC,1,0.524,0.058,0.038,1.048,0.116,0.076,0.04716
561,bonus,5.262,0.707,1.221,F2,n/d,e_minus,NC,1,0.663,0.058,0.043,1.326,0.116,0.086,0.05967
562,bonus,5.262,0.688,1.22,F2,n/d,e_minus,NC,1,0.699,0.053,0.041,1.398,0.106,0.082,0.06291
563,bonus,5.262,0.671,1.218,F2,n/d,e_minus,NC,1,0.754,0.051,0.041,1.508,0.102,0.082,0.06786
564,bonus,5.262,0.654,1.218,F2,n/d,e_minus,NC,1,0.689,0.045,0.035,1.378,0.09,0.07,0.062009999999999996
565,bonus,5.262,0.636,1.217,F2,n/d,e_minus,NC,1,0.604,0.04,0.028,1.208,0.08,0.056,0.05436
566,bonus,5.262,0.619,1.217,F2,n/d,e_minus,NC,1,0.532,0.037,0.023,1.064,0.074,0.046,0.04788
567,bonus,5.262,0.604,1.217,F2,n/d,e_minus,NC,1,0.45,0.034,0.018,0.9,0.068,0.036,0.0405
568,bonus,5.262,0.588,1.216,F2,n/d,e_minus,NC,1,0.439,0.033,0.016,0.878,0.066,0.032,0.039509999999999997
569,bonus,5.262,0.575,1.216,F2,n/d,e_minus,NC,1,0.377,0.032,0.013,0.754,0.064,0.026,0.03393
570,bonus,5.262,0.559,1.215,F2,n/d,e_minus,NC,1,0.387,0.032,0.012,0.774,0.064,0.024,0.03483
571,bonus,5.262,0.545,1.214,F2,n/d,e_minus,NC,1,0.436,0.033,0.013,0.872,0.066,0.026,0.03924
572,bonus,5.262,0.532,1.214,F2,n/d,e_minus,NC,1,0.377,0.031,0.011,0.754,0.062,0.022,0.03393
573,bonus,5.262,0.518,1.213,F2,n/d,e_minus,NC,1,0.435,0.032,0.012,0.87,0.064,0.024,0.03915
574,bonus,5.262,0.507,1.212,F2,n/d,e_minus,NC,1,0.355,0.028,0.009,0.71,0.056,0.018,0.03195
575,bonus,5.262,0.494,1.212,F2,n/d,e_minus,NC,1,0.357,0.028,0.008,0.714,0.056,0.016,0.03213
576,bonus,5.262,0.482,1.211,F2,n/d,e_minus,NC,1,0.451,0.029,0.01,0.902,0.058,0.02,0.04059
577,bonus,5.262,0.471,1.21,F2,n/d,e_minus,NC,1,0.428,0.027,0.009,0.856,0.054,0.018,0.03852
578,bonus,5.262,0.459,1.21,F2,n/d,e_minus,NC,1,0.453,0.027,0.009,0.906,0.054,0.018,0.04077
579,bonus,5.262,0.45,1.208,F2,n/d,e_minus,NC,1,0.402,0.025,0.008,0.804,0.05,0.016,0.036180000000000004
580,bonus,5.262,0.439,1.208,F2,n/d,e_minus,NC,1,0.428,0.025,0.008,0.856,0.05,0.016,0.03852
581,bonus,5.262,0.43,1.207,F2,n/d,e_minus,NC,1,0.399,0.024,0.007,0.798,0.048,0.014,0.03591
582,bonus,5.262,0.421,1.207,F2,n/d,e_minus,NC,1,0.411,0.024,0.007,0.822,0.048,0.014,0.036989999999999995
583,bonus,5.262,0.41,1.206,F2,n/d,e_minus,NC,1,0.35,0.022,0.005,0.7,0.044,0.01,0.0315
584,bonus,5.262,0.401,1.206,F2,n/d,e_minus,NC,1,0.406,0.023,0.006,0.812,0.046,0.012,0.03654
585,bonus,5.262,0.393,1.205,F2,n/d,e_minus,NC,1,0.386,0.022,0.006,0.772,0.044,0.012,0.03474
586,bonus,5.262,0.385,1.205,F2,n/d,e_minus,NC,1,0.368,0.022,0.005,0.736,0.044,0.01,0.03312
587,bonus,5.262,0.377,1.205,F2,n/d,e_minus,NC,1,0.405,0.022,0.005,0.81,0.044,0.01,0.03645
588,bonus,5.262,0.369,1.204,F2,n/d,e_minus,NC,1,0.433,0.022,0.006,0.866,0.044,0.012,0.03897
589,bonus,5.262,0.361,1.204,F2,n/d,e_minus,NC,1,0.403,0.021,0.005,0.806,0.042,0.01,0.036270000000000004
590,bonus,5.262,0.354,1.204,F2,n/d,e_minus,NC,1,0.404,0.02,0.005,0.808,0.04,0.01,0.03636
591,bonus,5.262,0.348,1.204,F2,n/d,e_minus,NC,1,0.387,0.02,0.005,0.774,0.04,0.01,0.03483
592,bonus,5.262,0.34,1.204,F2,n/d,e_minus,NC,1,0.424,0.021,0.005,0.848,0.042,0.01,0.03816
593,bonus,5.262,0.333,1.204,F2,n/d,e_minus,NC,1,0.428,0.021,0.005,0.856,0.042,0.01,0.03852
594,bonus,5.262,0.326,1.204,F2,n/d,e_minus,NC,1,0.377,0.019,0.004,0.754,0.038,0.008,0.03393
595,bonus,5.262,0.319,1.204,F2,n/d,e_minus,NC,1,0.359,0.019,0.004,0.718,0.038,0.008,0.03231
596,bonus,5.262,0.314,1.204,F2,n/d,e_minus,NC,1,0.428,0.02,0.004,0.856,0.04,0.008,0.03852
597,bonus,5.262,0.308,1.204,F2,n/d,e_minus,NC,1,0.407,0.02,0.004,0.814,0.04,0.008,0.036629999999999996
598,bonus,5.262,0.302,1.204,F2,n/d,e_minus,NC,1,0.427,0.02,0.004,0.854,0.04,0.008,0.03843
599,bonus,5.262,0.295,1.205,F2,n/d,e_minus,NC,1,0.459,0.021,0.004,0.918,0.042,0.008,0.04131
600,bonus,5.262,0.291,1.205,F2,n/d,e_minus,NC,1,0.442,0.02,0.004,0.884,0.04,0.008,0.039779999999999996
601,bonus,5.262,0.285,1.204,F2,n/d,e_minus,NC,1,0.432,0.02,0.004,0.864,0.04,0.008,0.03888
602,bonus,5.262,0.28,1.204,F2,n/d,e_minus,NC,1,0.434,0.02,0.004,0.868,0.04,0.008,0.03906
603,bonus,5.262,0.274,1.203,F2,n/d,e_minus,NC,1,0.443,0.02,0.004,0.886,0.04,0.008,0.039869999999999996
604,bonus,5.262,0.269,1.203,F2,n/d,e_minus,NC,1,0.411,0.019,0.003,0.822,0.038,0.006,0.036989999999999995
605,bonus,5.262,0.264,1.202,F2,n/d,e_minus,NC,1,0.438,0.02,0.003,0.876,0.04,0.006,0.03942
606,bonus,5.262,0.259,1.201,F2,n/d,e_minus,NC,1,0.426,0.02,0.003,0.852,0.04,0.006,0.03834
607,bonus,5.262,0.255,1.201,F2,n/d,e_minus,NC,1,0.382,0.019,0.003,0.764,0.038,0.006,0.03438
608,bonus,5.262,0.25,1.2,F2,n/d,e_minus,NC,1,0.404,0.019,0.003,0.808,0.038,0.006,0.03636
609,bonus,5.262,0.246,1.199,F2,n/d,e_minus,NC,1,0.413,0.019,0.003,0.826,0.038,0.006,0.037169999999999995
610,bonus,5.262,0.242,1.199,F2,n/d,e_minus,NC,1,0.44,0.019,0.003,0.88,0.038,0.006,0.039599999999999996
611,bonus,5.262,0.238,1.199,F2,n/d,e_minus,NC,1,0.422,0.019,0.003,0.844,0.038,0.006,0.03798
612,bonus,5.262,0.234,1.199,F2,n/d,e_minus,NC,1,0.407,0.019,0.003,0.814,0.038,0.006,0.036629999999999996
613,bonus,5.262,0.23,1.201,F2,n/d,e_minus,NC,1,0.419,0.019,0.003,0.838,0.038,0.006,0.03771
614,bonus,5.262,0.227,1.201,F2,n/d,e_minus,NC,1,0.446,0.019,0.003,0.892,0.038,0.006,0.04014
615,bonus,5.262,0.223,1.201,F2,n/d,e_minus,NC,1,0.456,0.019,0.003,0.912,0.038,0.006,0.04104
616,bonus,5.262,0.219,1.202,F2,n/d,e_minus,NC,1,0.391,0.018,0.002,0.782,0.036,0.004,0.03519
617,bonus,5.262,0.215,1.202,F2,n/d,e_minus,NC,1,0.411,0.019,0.003,0.822,0.038,0.006,0.036989999999999995
618,bonus,5.262,0.212,1.203,F2,n/d,e_minus,NC,1,0.441,0.019,0.003,0.882,0.038,0.006,0.039689999999999996
619,bonus,5.262,0.208,1.204,F2,n/d,e_minus,NC,1,0.4,0.018,0.002,0.8,0.036,0.004,0.036
620,bonus,5.262,0.205,1.203,F2,n/d,e_minus,NC,1,0.415,0.018,0.002,0.83,0.036,0.004,0.037349999999999994
621,bonus,5.262,0.202,1.204,F2,n/d,e_minus,NC,1,0.46,0.019,0.003,0.92,0.038,0.006,0.0414
622,bonus,5.262,0.198,1.203,F2,n/d,e_minus,NC,1,0.426,0.018,0.002,0.852,0.036,0.004,0.03834
623,bonus,5.262,0.195,1.202,F2,n/d,e_minus,NC,1,0.415,0.018,0.002,0.83,0.036,0.004,0.037349999999999994
624,bonus,5.262,0.192,1.201,F2,n/d,e_minus,NC,1,0.429,0.019,0.002,0.858,0.038,0.004,0.03861
625,bonus,5.262,0.189,1.2,F2,n/d,e_minus,NC,1,0.374,0.018,0.002,0.748,0.036,0.004,0.033659999999999995
626,bonus,5.262,0.186,1.199,F2,n/d,e_minus,NC,1,0.427,0.019,0.002,0.854,0.038,0.004,0.03843
627,bonus,5.262,0.184,1.198,F2,n/d,e_minus,NC,1,0.417,0.018,0.002,0.834,0.036,0.004,0.037529999999999994
628,bonus,5.262,0.181,1.198,F2,n/d,e_minus,NC,1,0.451,0.019,0.002,0.902,0.038,0.004,0.04059
629,bonus,5.262,0.179,1.199,F2,n/d,e_minus,NC,1,0.417,0.018,0.002,0.834,0.036,0.004,0.037529999999999994
630,bonus,5.262,0.176,1.2,F2,n/d,e_minus,NC,1,0.409,0.018,0.002,0.818,0.036,0.004,0.036809999999999996
631,bonus,5.262,0.174,1.201,F2,n/d,e_minus,NC,1,0.418,0.018,0.002,0.836,0.036,0.004,0.037619999999999994
632,bonus,5.262,0.171,1.202,F2,n/d,e_minus,NC,1,0.42,0.017,0.002,0.84,0.034,0.004,0.0378
633,bonus,5.262,0.794,1.43,F2,n/d,e_minus,NC,1,0.201,0.03,0.02,0.402,0.06,0.04,0.018090000000000002
634,bonus,5.262,0.775,1.43,F2,n/d,e_minus,NC,1,0.301,0.042,0.028,0.602,0.084,0.056,0.02709
635,bonus,5.262,0.757,1.431,F2,n/d,e_minus,NC,1,0.431,0.048,0.036,0.862,0.096,0.072,0.03879
636,bonus,5.262,0.739,1.43,F2,n/d,e_minus,NC,1,0.538,0.048,0.041,1.076,0.096,0.082,0.048420000000000005
637,bonus,5.262,0.722,1.428,F2,n/d,e_minus,NC,1,0.641,0.047,0.045,1.282,0.094,0.09,0.05769
638,bonus,5.262,0.705,1.429,F2,n/d,e_minus,NC,1,0.705,0.045,0.046,1.41,0.09,0.092,0.06344999999999999
