,exp,X,Q2,value,obs,target,lepton beam,current,stat_u,syst_u,*norm_c,%cor1_c,%cor2_c,%cor3_c,%cor4_c,%cor5_c,*Elab,*nu,*E',*sin2(theta/2),*epsilon
95,bcdms,0.75,65.5,0.00788,F2,d,mu,NC,0.001,0,0.0002364,1.3,3.5,4.9,0.0,0.0,120,46.5529495380242,73.4470504619758,0.00185791440874782,0.996179392715204
96,bcdms,0.75,75.0,0.00779,F2,d,mu,NC,0.0011,0,0.0002337,1.0,3.1,3.5,0.0,0.0,120,53.3049040511727,66.6950959488273,0.00234275095907928,0.995202655057
97,bcdms,0.75,86.0,0.00711,F2,d,mu,NC,0.0012,0,0.0002133,0.7,2.7,3.0,0.0,0.0,120,61.1229566453447,58.8770433546553,0.00304306494447127,0.993793528633328
98,bcdms,0.75,99.0,0.00656,F2,d,mu,NC,0.0012,0,0.0001968,0.4,2.4,2.3,0.0,0.0,120,70.362473347548,49.637526652452,0.00415512242268041,0.991560051253749
99,bcdms,0.07,17.0,0.39517,F2,d,mu,NC,0.0072,0,0.0118551,-0.3,-0.1,-0.4,1.5,0.5,200,129.454766981419,70.5452330185806,0.000301225172711572,0.999397120494821
100,bcdms,0.07,19.0,0.38663,F2,d,mu,NC,0.0064,0,0.0115989,-0.3,0.0,0.5,1.5,0.5,200,144.684739567469,55.3152604325312,0.000429357103524229,0.999140875940037
101,bcdms,0.1,19.0,0.36425,F2,d,mu,NC,0.0048,0,0.0109275,-0.4,-0.1,0.4,0.5,0.5,200,101.279317697228,98.7206823027719,0.000240577753779698,0.999518069617822
102,bcdms,0.1,21.5,0.37191,F2,d,mu,NC,0.004,0,0.0111573,-0.3,-0.1,0.6,0.5,0.5,200,114.605543710021,85.3944562899787,0.000314715980024969,0.999369736714078
103,bcdms,0.1,24.5,0.36414,F2,d,mu,NC,0.0043,0,0.0109242,-0.3,-0.1,0.3,0.5,0.5,200,130.597014925373,69.4029850746269,0.000441263440860215,0.999116596319731
104,bcdms,0.14,21.5,0.33812,F2,d,mu,NC,0.0044,0,0.0101436,-0.4,-0.2,0.5,0.0,0.5,200,81.8611026500152,118.138897349985,0.000227486463839113,0.999543671829345
105,bcdms,0.14,24.5,0.34444,F2,d,mu,NC,0.0046,0,0.0103332,-0.4,-0.1,0.7,0.0,0.5,200,93.2835820895522,106.716417910448,0.000286975524475524,0.999424599047226
106,bcdms,0.14,28.0,0.33278,F2,d,mu,NC,0.0043,0,0.0099834,-0.4,-0.1,0.3,0.0,0.5,200,106.609808102345,93.3901918976546,0.000374771689497717,0.99924889295413
107,bcdms,0.14,32.5,0.3278,F2,d,mu,NC,0.0043,0,0.009834,-0.3,0.0,0.4,0.0,0.5,200,123.743527261651,76.2564727383491,0.000532741661673657,0.998932826178137
108,bcdms,0.18,21.5,0.30303,F2,d,mu,NC,0.0049,0,0.0090909,-0.5,-0.2,0.5,0.0,0.5,200,63.6697465055674,136.330253494433,0.000197131592666609,0.999603724740418
