,exp,x,Q2,value,stat_u,sys_u,Elab,%*norm_c,target,lepton beam,current,obs
130,bcdms,0.35,43.0,0.17086,0.00216,0.00111,200,3,d,mu_minus,NC,sig_r
131,bcdms,0.35,49.5,0.1673,0.00215,0.00085,200,3,d,mu_minus,NC,sig_r
132,bcdms,0.35,57.0,0.16606,0.00226,0.00121,200,3,d,mu_minus,NC,sig_r
133,bcdms,0.35,65.5,0.16045,0.0024,0.00068,200,3,d,mu_minus,NC,sig_r
134,bcdms,0.35,75.0,0.15978,0.00301,0.00061,200,3,d,mu_minus,NC,sig_r
135,bcdms,0.35,86.0,0.16018,0.00314,0.00126,200,3,d,mu_minus,NC,sig_r
136,bcdms,0.35,99.0,0.14935,0.00337,0.00069,200,3,d,mu_minus,NC,sig_r
137,bcdms,0.45,32.5,0.10618,0.00273,0.00152,200,3,d,mu_minus,NC,sig_r
138,bcdms,0.45,37.5,0.10392,0.00292,0.00121,200,3,d,mu_minus,NC,sig_r
139,bcdms,0.45,43.0,0.10567,0.0019,0.00113,200,3,d,mu_minus,NC,sig_r
140,bcdms,0.45,49.5,0.1034,0.00189,0.00087,200,3,d,mu_minus,NC,sig_r
141,bcdms,0.45,57.0,0.10321,0.00195,0.00085,200,3,d,mu_minus,NC,sig_r
142,bcdms,0.45,65.5,0.10038,0.00205,0.00074,200,3,d,mu_minus,NC,sig_r
143,bcdms,0.45,75.0,0.09919,0.00258,0.00064,200,3,d,mu_minus,NC,sig_r
144,bcdms,0.45,86.0,0.09492,0.00261,0.00074,200,3,d,mu_minus,NC,sig_r
145,bcdms,0.45,99.0,0.09065,0.0027,0.00048,200,3,d,mu_minus,NC,sig_r
146,bcdms,0.45,115.5,0.09187,0.00272,0.00062,200,3,d,mu_minus,NC,sig_r
147,bcdms,0.55,32.5,0.05383,0.00192,0.00213,200,3,d,mu_minus,NC,sig_r
148,bcdms,0.55,37.5,0.05319,0.00214,0.00175,200,3,d,mu_minus,NC,sig_r
149,bcdms,0.55,43.0,0.05346,0.00132,0.00144,200,3,d,mu_minus,NC,sig_r
150,bcdms,0.55,49.5,0.05282,0.00135,0.00123,200,3,d,mu_minus,NC,sig_r
151,bcdms,0.55,57.0,0.05373,0.00147,0.00099,200,3,d,mu_minus,NC,sig_r
152,bcdms,0.55,65.5,0.05221,0.00154,0.00076,200,3,d,mu_minus,NC,sig_r
153,bcdms,0.55,75.0,0.05218,0.00169,0.00071,200,3,d,mu_minus,NC,sig_r
154,bcdms,0.55,86.0,0.04913,0.00198,0.00061,200,3,d,mu_minus,NC,sig_r
155,bcdms,0.55,99.0,0.05086,0.00213,0.00052,200,3,d,mu_minus,NC,sig_r
156,bcdms,0.55,115.5,0.04983,0.00214,0.00045,200,3,d,mu_minus,NC,sig_r
157,bcdms,0.55,137.5,0.04556,0.00213,0.00042,200,3,d,mu_minus,NC,sig_r
158,bcdms,0.65,32.5,0.02538,0.00115,0.00232,200,3,d,mu_minus,NC,sig_r
159,bcdms,0.65,37.5,0.02531,0.00128,0.00208,200,3,d,mu_minus,NC,sig_r
160,bcdms,0.65,43.0,0.02316,0.00074,0.00161,200,3,d,mu_minus,NC,sig_r
161,bcdms,0.65,49.5,0.02468,0.00082,0.00151,200,3,d,mu_minus,NC,sig_r
162,bcdms,0.65,57.0,0.02318,0.00085,0.00113,200,3,d,mu_minus,NC,sig_r
163,bcdms,0.65,65.5,0.02269,0.00094,0.00087,200,3,d,mu_minus,NC,sig_r
164,bcdms,0.65,75.0,0.02195,0.00103,0.00066,200,3,d,mu_minus,NC,sig_r
165,bcdms,0.65,86.0,0.02052,0.00123,0.00054,200,3,d,mu_minus,NC,sig_r
166,bcdms,0.65,99.0,0.02144,0.00138,0.00048,200,3,d,mu_minus,NC,sig_r
167,bcdms,0.65,115.5,0.01997,0.00135,0.00038,200,3,d,mu_minus,NC,sig_r
168,bcdms,0.65,137.5,0.01944,0.00146,0.00031,200,3,d,mu_minus,NC,sig_r
169,bcdms,0.75,43.0,0.00934,0.00046,0.00158,200,3,d,mu_minus,NC,sig_r
170,bcdms,0.75,49.5,0.00935,0.00049,0.00139,200,3,d,mu_minus,NC,sig_r
171,bcdms,0.75,57.0,0.0083,0.00053,0.00113,200,3,d,mu_minus,NC,sig_r
172,bcdms,0.75,65.5,0.00764,0.00055,0.00092,200,3,d,mu_minus,NC,sig_r
173,bcdms,0.75,75.0,0.00803,0.00063,0.00087,200,3,d,mu_minus,NC,sig_r
174,bcdms,0.75,86.0,0.0072,0.00064,0.00066,200,3,d,mu_minus,NC,sig_r
175,bcdms,0.75,99.0,0.00857,0.00081,0.00069,200,3,d,mu_minus,NC,sig_r
176,bcdms,0.75,115.5,0.00673,0.00074,0.00043,200,3,d,mu_minus,NC,sig_r
177,bcdms,0.75,137.5,0.00661,0.00081,0.00035,200,3,d,mu_minus,NC,sig_r
178,bcdms,0.1,32.5,0.36758,0.00737,0.00518,280,3,d,mu_minus,NC,sig_r
179,bcdms,0.1,37.5,0.35901,0.00803,0.0044,280,3,d,mu_minus,NC,sig_r
180,bcdms,0.14,37.5,0.329,0.00825,0.00391,280,3,d,mu_minus,NC,sig_r
181,bcdms,0.14,43.0,0.32609,0.00818,0.00365,280,3,d,mu_minus,NC,sig_r
182,bcdms,0.14,49.5,0.32622,0.00861,0.00365,280,3,d,mu_minus,NC,sig_r
183,bcdms,0.14,57.0,0.31362,0.00991,0.0035,280,3,d,mu_minus,NC,sig_r
184,bcdms,0.18,37.5,0.29865,0.00862,0.00329,280,3,d,mu_minus,NC,sig_r
185,bcdms,0.18,43.0,0.31101,0.00875,0.00338,280,3,d,mu_minus,NC,sig_r
186,bcdms,0.18,49.5,0.31237,0.00922,0.00333,280,3,d,mu_minus,NC,sig_r
187,bcdms,0.18,57.0,0.28775,0.00632,0.00154,280,3,d,mu_minus,NC,sig_r
188,bcdms,0.18,65.5,0.2909,0.00671,0.0017,280,3,d,mu_minus,NC,sig_r
189,bcdms,0.225,37.5,0.25886,0.00788,0.00298,280,3,d,mu_minus,NC,sig_r
190,bcdms,0.225,43.0,0.26717,0.00791,0.00308,280,3,d,mu_minus,NC,sig_r
191,bcdms,0.225,49.5,0.27703,0.00827,0.003,280,3,d,mu_minus,NC,sig_r
192,bcdms,0.225,57.0,0.2561,0.00582,0.0013,280,3,d,mu_minus,NC,sig_r
193,bcdms,0.225,65.5,0.24968,0.00597,0.00135,280,3,d,mu_minus,NC,sig_r
194,bcdms,0.225,75.0,0.25033,0.00645,0.00109,280,3,d,mu_minus,NC,sig_r
195,bcdms,0.225,86.0,0.24686,0.00699,0.00118,280,3,d,mu_minus,NC,sig_r
196,bcdms,0.275,37.5,0.21158,0.00795,0.00237,280,3,d,mu_minus,NC,sig_r
197,bcdms,0.275,43.0,0.23148,0.00821,0.00242,280,3,d,mu_minus,NC,sig_r
198,bcdms,0.275,49.5,0.22144,0.00813,0.00241,280,3,d,mu_minus,NC,sig_r
199,bcdms,0.275,57.0,0.21174,0.0057,0.00166,280,3,d,mu_minus,NC,sig_r
200,bcdms,0.275,65.5,0.22404,0.00622,0.00145,280,3,d,mu_minus,NC,sig_r
201,bcdms,0.275,75.0,0.20388,0.00614,0.00132,280,3,d,mu_minus,NC,sig_r
202,bcdms,0.275,86.0,0.21105,0.00652,0.00092,280,3,d,mu_minus,NC,sig_r
203,bcdms,0.275,99.0,0.2138,0.00863,0.0008,280,3,d,mu_minus,NC,sig_r
204,bcdms,0.275,115.5,0.19842,0.00918,0.00081,280,3,d,mu_minus,NC,sig_r
205,bcdms,0.35,43.0,0.17498,0.00592,0.00218,280,3,d,mu_minus,NC,sig_r
206,bcdms,0.35,49.5,0.17194,0.00581,0.00191,280,3,d,mu_minus,NC,sig_r
207,bcdms,0.35,57.0,0.1621,0.00398,0.0013,280,3,d,mu_minus,NC,sig_r
208,bcdms,0.35,65.5,0.16531,0.0042,0.00121,280,3,d,mu_minus,NC,sig_r
209,bcdms,0.35,75.0,0.15851,0.00426,0.00211,280,3,d,mu_minus,NC,sig_r
210,bcdms,0.35,86.0,0.15873,0.00439,0.00128,280,3,d,mu_minus,NC,sig_r
211,bcdms,0.35,99.0,0.15282,0.00459,0.00104,280,3,d,mu_minus,NC,sig_r
212,bcdms,0.35,115.5,0.15741,0.00572,0.00064,280,3,d,mu_minus,NC,sig_r
213,bcdms,0.35,137.5,0.14745,0.00582,0.00061,280,3,d,mu_minus,NC,sig_r
