,exp,I,J,x,Q2,obs,target,lepton beam,current,units,value,*%stat_u,*%dSR_u,*%1dN1_c,*%2dN1_c,*%3dN1_c,*%4dN1_c,*%5dN1_c,*%6dN1_c,*%7dN1_c,*%8dN1_c,*%1dN2_c,*%2dN2_c,*%3dN2_c,*%4dN2_c,*%5dN2_c,*%6dN2_c,*%7dN2_c,*%8dN2_c,%*norm_c
100,slac,101,1,0.077,2.009,sig_r,d/p,e,nc,1,0.8965,4.1,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
101,slac,102,1,0.769,8.082,sig_r,d/p,e,nc,1,0.719,5.7,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
102,slac,103,1,0.714,7.906,sig_r,d/p,e,nc,1,0.7565,4.0,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
103,slac,104,1,0.645,7.656,sig_r,d/p,e,nc,1,0.726,3.0,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
104,slac,105,1,0.571,7.348,sig_r,d/p,e,nc,1,0.729,2.8,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
105,slac,106,1,0.508,7.037,sig_r,d/p,e,nc,1,0.743,2.8,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
106,slac,107,1,0.447,6.691,sig_r,d/p,e,nc,1,0.7705,2.8,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
107,slac,108,1,0.393,6.328,sig_r,d/p,e,nc,1,0.793,2.9,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
108,slac,109,1,0.341,5.931,sig_r,d/p,e,nc,1,0.814,2.9,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
109,slac,110,1,0.293,5.498,sig_r,d/p,e,nc,1,0.8315,2.9,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
110,slac,111,1,0.248,5.032,sig_r,d/p,e,nc,1,0.8565,2.9,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
111,slac,112,1,0.215,4.634,sig_r,d/p,e,nc,1,0.919,3.0,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
112,slac,113,1,0.185,4.219,sig_r,d/p,e,nc,1,0.961,3.0,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
113,slac,114,1,0.157,3.804,sig_r,d/p,e,nc,1,0.8955,3.1,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
114,slac,115,1,0.131,3.355,sig_r,d/p,e,nc,1,0.995,3.2,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
115,slac,116,1,0.107,2.888,sig_r,d/p,e,nc,1,0.923,2.9,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
116,slac,117,1,0.083,2.386,sig_r,d/p,e,nc,1,0.9505,3.4,0.6,0.5,0,0.0,0.0,0.0,0.0,0,0,0.3,0,0.0,0,0.0,0.0,0,0,1
117,slac,118,2,0.338,1.173,sig_r,d/p,e,nc,1,0.8645,0.7,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
118,slac,119,2,0.292,1.102,sig_r,d/p,e,nc,1,0.861,0.6,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
119,slac,120,2,0.26,1.043,sig_r,d/p,e,nc,1,0.8645,0.8,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
120,slac,121,2,0.235,0.994,sig_r,d/p,e,nc,1,0.8915,1.5,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
121,slac,122,2,0.188,0.884,sig_r,d/p,e,nc,1,0.889,1.6,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,1
