,exp,x,Q2,W2,epsilon,sigma,stat,value,stf2rec_u,obs,target,lepton beam,current,units,%*norm_c
243,e94110,0.648434,3.126,2.575,0.759123,2.93,0.07527,0.084765,0.002178,F2,p,e,NC,1,1.9
244,e94110,0.640462,3.108,2.625,0.756755,3.034,0.08202,0.088044,0.00238,F2,p,e,NC,1,1.9
245,e94110,0.632594,3.09,2.675,0.754363,3.46,0.09382,0.100741,0.002732,F2,p,e,NC,1,1.9
246,e94110,0.625067,3.072,2.725,0.752046,3.798,0.1065,0.110901,0.00311,F2,p,e,NC,1,1.9
247,e94110,0.617397,3.054,2.775,0.749607,4.34,0.1226,0.127185,0.003593,F2,p,e,NC,1,1.9
248,e94110,0.609624,3.035,2.825,0.747102,4.507,0.1191,0.13253,0.003502,F2,p,e,NC,1,1.9
249,e94110,0.60215,3.017,2.875,0.744615,4.903,0.1127,0.144768,0.003328,F2,p,e,NC,1,1.9
250,e94110,0.594771,2.999,2.925,0.742104,4.744,0.1067,0.14071,0.003165,F2,p,e,NC,1,1.9
251,e94110,0.587484,2.981,2.975,0.73957,4.698,0.1042,0.140024,0.003106,F2,p,e,NC,1,1.9
252,e94110,0.576619,2.954,3.05,0.735672,4.593,0.1056,0.137957,0.003172,F2,p,e,NC,1,1.9
253,e94110,0.562585,2.918,3.15,0.730458,4.583,0.1116,0.138987,0.003384,F2,p,e,NC,1,1.9
254,e94110,0.548702,2.881,3.25,0.725096,4.794,0.1169,0.146654,0.003576,F2,p,e,NC,1,1.9
255,e94110,0.53534,2.845,3.35,0.719685,5.032,0.1224,0.155231,0.003776,F2,p,e,NC,1,1.9
256,e94110,0.522296,2.809,3.45,0.714175,5.192,0.126,0.161368,0.003916,F2,p,e,NC,1,1.9
257,e94110,0.509557,2.773,3.55,0.708568,5.497,0.1303,0.171933,0.004075,F2,p,e,NC,1,1.9
258,e94110,0.496932,2.736,3.65,0.702802,5.609,0.1324,0.176254,0.00416,F2,p,e,NC,1,1.9
259,e94110,0.484776,2.7,3.75,0.696994,5.834,0.1362,0.18403,0.004296,F2,p,e,NC,1,1.9
260,e94110,0.472895,2.664,3.85,0.691085,5.97,0.1373,0.188853,0.004343,F2,p,e,NC,1,1.9
