,exp,x,Q2,obs,target,lepton beam,current,units,value,dstat_u,dsys,%dVX_c,%dSM_c,%dRC_c,%dE_c,%dEp_c,%*norm_c
126,nmc,0.09,1.38,sig,d/p,mu_minus,nc,1,0.9385,0.0281,0.0032,0.3,-0.1,0.1,-0.1,0.1,0.25
127,nmc,0.09,1.76,sig,d/p,mu_minus,nc,1,0.9413,0.014,0.0028,0.3,0.0,0.1,-0.1,0.1,0.25
128,nmc,0.09,2.24,sig,d/p,mu_minus,nc,1,0.9313,0.0136,0.0025,0.2,0.0,0.1,0.0,0.1,0.25
129,nmc,0.09,2.75,sig,d/p,mu_minus,nc,1,0.9445,0.0124,0.0024,0.2,-0.1,0.1,0.0,0.0,0.25
130,nmc,0.09,3.49,sig,d/p,mu_minus,nc,1,0.936,0.0082,0.0021,0.2,-0.1,0.1,0.0,0.0,0.25
131,nmc,0.09,4.47,sig,d/p,mu_minus,nc,1,0.9397,0.0089,0.0018,0.2,-0.1,0.0,0.0,0.0,0.25
132,nmc,0.09,5.46,sig,d/p,mu_minus,nc,1,0.942,0.0106,0.0016,0.1,-0.1,0.0,0.0,0.0,0.25
133,nmc,0.09,6.91,sig,d/p,mu_minus,nc,1,0.9245,0.0092,0.0016,0.2,0.0,0.0,0.0,0.0,0.25
134,nmc,0.09,8.92,sig,d/p,mu_minus,nc,1,0.9218,0.0114,0.0014,0.1,0.0,0.0,0.0,0.0,0.25
135,nmc,0.09,11.37,sig,d/p,mu_minus,nc,1,0.9254,0.0115,0.0017,0.2,0.0,0.0,0.0,0.0,0.25
136,nmc,0.09,14.87,sig,d/p,mu_minus,nc,1,0.9291,0.0116,0.0014,0.1,0.0,0.0,0.0,0.0,0.25
137,nmc,0.09,19.74,sig,d/p,mu_minus,nc,1,0.9319,0.0114,0.0013,0.1,0.0,0.1,0.0,0.0,0.25
138,nmc,0.09,26.36,sig,d/p,mu_minus,nc,1,0.9554,0.0147,0.0012,0.1,0.0,0.1,0.0,0.0,0.25
139,nmc,0.09,34.74,sig,d/p,mu_minus,nc,1,0.9233,0.0222,0.0017,0.1,0.0,0.2,0.0,0.0,0.25
140,nmc,0.11,1.13,sig,d/p,mu_minus,nc,1,0.9264,0.068,0.0063,0.2,-0.6,0.1,-0.1,0.2,0.25
141,nmc,0.11,1.38,sig,d/p,mu_minus,nc,1,0.9005,0.0306,0.0031,0.3,-0.1,0.1,-0.1,0.1,0.25
142,nmc,0.11,1.75,sig,d/p,mu_minus,nc,1,0.9227,0.0169,0.0031,0.3,0.0,0.1,-0.1,0.1,0.25
143,nmc,0.11,2.24,sig,d/p,mu_minus,nc,1,0.915,0.0151,0.0026,0.3,0.0,0.1,-0.1,0.1,0.25
